@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_duty4 (in view: work.sys_pll(verilog)) on net dyn_duty4 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_duty3 (in view: work.sys_pll(verilog)) on net dyn_duty3 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_duty2 (in view: work.sys_pll(verilog)) on net dyn_duty2 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_duty1 (in view: work.sys_pll(verilog)) on net dyn_duty1 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_duty0 (in view: work.sys_pll(verilog)) on net dyn_duty0 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_fdiv (in view: work.sys_pll(verilog)) on net dyn_fdiv (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_odiv4 (in view: work.sys_pll(verilog)) on net dyn_odiv4 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_odiv3 (in view: work.sys_pll(verilog)) on net dyn_odiv3 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_odiv2 (in view: work.sys_pll(verilog)) on net dyn_odiv2 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\wkk\desktop\program\program\ipcore\sys_pll\sys_pll.v":256:16:256:19|Tristate driver dyn_odiv1 (in view: work.sys_pll(verilog)) on net dyn_odiv1 (in view: work.sys_pll(verilog)) has its enable tied to GND.
@N: FX493 |Applying initial value "1" on instance state[0].
@N: FX493 |Applying initial value "0" on instance state[1].
@N: FX493 |Applying initial value "0" on instance state[2].
@N: FX493 |Applying initial value "0" on instance state[3].
@N: FX493 |Applying initial value "0" on instance state[4].
@N: FX493 |Applying initial value "1" on instance state[0].
@N: FX493 |Applying initial value "0" on instance state[1].
@N: FX493 |Applying initial value "0" on instance state[2].
@N: FX493 |Applying initial value "0" on instance state[3].
@N: FX493 |Applying initial value "0" on instance state[4].
@N: FX493 |Applying initial value "0" on instance state[5].
@N: FX493 |Applying initial value "1" on instance state[0].
@N: FX493 |Applying initial value "0" on instance state[1].
@N: FX493 |Applying initial value "0" on instance state[2].
@N: FX493 |Applying initial value "0" on instance state[3].
@N: FX493 |Applying initial value "0" on instance state[4].
@N: FX493 |Applying initial value "0" on instance state[5].
@N: FX493 |Applying initial value "0" on instance state[6].
@N: FX493 |Applying initial value "1" on instance state[0].
@N: FX493 |Applying initial value "0" on instance state[1].
@N: FX493 |Applying initial value "0" on instance state[2].
@N: FX493 |Applying initial value "0" on instance state[3].
@N: FX493 |Applying initial value "0" on instance state[4].
@N: FX493 |Applying initial value "0" on instance state[5].
@N: FX493 |Applying initial value "0" on instance state[6].
@N: MT204 |Auto Constrain mode is disabled because the following clocks are already defined:
@N: MO231 :"c:\users\wkk\desktop\program\program\source\hdmi\sync_vg.v":61:4:61:9|Found counter in view:work.sync_vg_Z2(verilog) instance h_count[11:0] 
@N: MO231 :"c:\users\wkk\desktop\program\program\source\hdmi\ms7200_ctl.v":472:4:472:9|Found counter in view:work.ms7200_ctl(verilog) instance dri_cnt[8:0] 
@N: MO231 :"c:\users\wkk\desktop\program\program\source\hdmi\ms7200_ctl.v":614:4:614:9|Found counter in view:work.ms7200_ctl(verilog) instance cmd_index[8:0] 
@N: MO231 :"c:\users\wkk\desktop\program\program\source\hdmi\ms7210_ctl.v":170:4:170:9|Found counter in view:work.ms7210_ctl(verilog) instance dri_cnt[4:0] 
@N: MO231 :"c:\users\wkk\desktop\program\program\source\hdmi\ms7210_ctl.v":218:4:218:9|Found counter in view:work.ms7210_ctl(verilog) instance delay_cnt[21:0] 
@N: MO231 :"c:\users\wkk\desktop\program\program\source\hdmi\ms7210_ctl.v":279:4:279:9|Found counter in view:work.ms7210_ctl(verilog) instance cmd_index[5:0] 
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\iic_dri.v":262:4:262:9|Removing sequential instance trans_byte_max[1] (in view: work.iic_dri_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\iic_dri.v":262:4:262:9|Removing sequential instance trans_byte_max[2] (in view: work.iic_dri_Z1(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\iic_dri.v":262:4:262:9|Removing sequential instance trans_byte_max[1] (in view: work.iic_dri_Z1_0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\iic_dri.v":262:4:262:9|Removing sequential instance trans_byte_max[2] (in view: work.iic_dri_Z1_0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\sync_vg.v":122:4:122:9|Removing sequential instance sync_vg.x_act[0] (in view: ScratchLib.cell31(netlist)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\sync_vg.v":122:4:122:9|Removing sequential instance sync_vg.x_act[1] (in view: ScratchLib.cell31(netlist)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\sync_vg.v":122:4:122:9|Removing sequential instance sync_vg.x_act[2] (in view: ScratchLib.cell31(netlist)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\sync_vg.v":122:4:122:9|Removing sequential instance sync_vg.x_act[3] (in view: ScratchLib.cell31(netlist)) because it does not drive other instances.
@N: BN362 :"c:\users\wkk\desktop\program\program\source\hdmi\sync_vg.v":122:4:122:9|Removing sequential instance sync_vg.x_act[0] (in view: work.hdmi_top(verilog)) because it does not drive other instances.
